ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	UGT1A1_RNA	UGT2B4_RNA	UGT2B28_RNA	SLC35D1_RNA	UGT2B11_RNA	UGT2B17_RNA	UGT2B10_RNA	UGT3A1_RNA	UGT2B7_RNA	UGT2A3_RNA	UGT3A2_RNA	UGT2B15_RNA	UGDH_RNA	EXT2_RNA	UXS1_RNA	CHPF2_RNA	ALG5_RNA	HAS3_RNA	CHPF_RNA	CSGALNACT2_RNA	CHSY1_RNA	EXT1_RNA	B3GAT2_RNA	B3GAT3_RNA	CSGALNACT1_RNA	HAS2_RNA	CHSY3_RNA	HAS1_RNA	B3GAT1_RNA	Uridine 5'-diphosphate_upmeta	meta
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.7646983046263	9.45710847098547	5.45331728012984	8.47614689242341	5.30377790798679	7.57726284786363	8.90050872360472	5.02969517611418	8.785884514546	6.45682958966606	3.26982472822082	9.42693564779453	9.85583087413696	7.06793198062246	6.32839731049853	6.22559515866512	5.74284053327173	5.97670989274572	6.41825875254176	7.55178987670878	6.7034226388288	8.26400809427711	4.63373525789043	6.32590008185388	5.77058200471669	4.10561700040227	4.71871466471948	5.82614228790567	5.76208925933702	18.0423	17.876
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	8.96597548534879	9.62556125052478	5.90517239620951	8.62986050552533	5.59939053058658	7.66283723896855	9.722518960444	6.44199972870429	10.1463760285663	4.01601516026799	3.44437293983464	9.63934279659169	8.09433358146199	6.21014648299668	5.57944333479363	5.95223910044974	4.97714187799056	6.20059658546058	6.1373082695854	7.01177832831487	6.54851879264582	8.73363646466861	5.03933855964843	6.27073342110537	5.01096098646772	4.33691466340376	4.86311667934807	5.98241691205891	5.69991649273272	10.1111	10.9936
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	9.19652576565483	10.5879715202245	6.30339980693422	8.51155034533724	6.85574635177892	8.77682141179177	10.1710025933894	6.88421226752275	9.64916499144394	6.89378277874977	3.69960298423372	10.6617751267871	10.2322718117779	7.0988490206434	5.81328457148105	6.19178965967965	5.72342898847596	5.82538506463021	5.62647662754121	6.83234362884103	6.02679851099189	8.60432210666553	4.67384144619711	6.27594440881965	5.64816324553413	3.91369081750096	4.64482634045187	5.63290144947444	5.49626545877077	18.0228	15.9427
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.52038271350357	9.00857538946442	5.78090648161351	6.56448761834007	7.2110287830647	6.53582449815823	8.22010744262952	4.67931736799804	7.8443525536059	7.00290138299323	3.58186875735185	7.62508195048883	11.0894133130562	6.40026910829758	6.40781448063384	6.46169101571108	5.17362849470183	6.13301999796296	6.08388883685312	7.41224762281837	6.62241215488097	8.85940916822888	4.90176320976406	6.43710241138391	5.01486441330072	4.24733628401188	5.06957270876829	6.13252554740447	5.7052228994324	16.846	17.6765
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	8.92790073246765	9.85432372416392	5.13376321842159	7.36350397022437	5.22862869810583	8.2865056773792	7.71468376345898	4.41630546835935	8.20728500789633	4.87957941751689	3.41867122680693	10.307738446311	10.7211456694863	6.9231653238268	5.95149853106491	5.83273398319051	6.15849161286118	6.1246725470378	6.05264700431599	6.37928021791842	6.11294881069739	8.47910759529095	4.6480366614126	6.15073536661795	5.0590147382241	3.79590016625034	4.69269134207173	5.71680593810993	5.65221793730402	13.489	10.9936
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	8.3564963816312	9.31395905420829	5.54629969143428	8.18420837456409	6.30860311404204	8.63100805551817	8.47273523544431	7.69751999651307	8.252859526106	6.03855425393153	5.85180601599815	9.96004409039769	10.8213401393016	6.87923830069504	6.18215644788749	5.84204918861338	5.26941366012804	5.57827255702784	6.23513697785984	7.10845289612513	5.86129786262663	8.48408525349883	4.68294785140735	6.2566948887827	4.8056191119442	3.7774266049464	4.7696050022482	5.54283020426556	5.71542208167353	15.3224	14.069
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	9.10616135841591	10.6396182936848	5.48900258265621	7.92458947294479	6.66381608113782	7.55559635383025	7.39847284735106	7.3716420645263	8.56426860358112	7.80694939997564	3.5133004409562	9.25200917788507	10.2074111570148	8.03562941489739	6.34204915136414	6.33986600457197	5.27306624527826	5.682878365747	5.9896173572825	7.27034203694972	7.09305631189888	9.10948068336382	4.52614190249807	6.20160255008008	5.61353171095061	6.56372245478857	4.81036805946384	5.48385136786985	5.31288575250998	10.1111	14.2337
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	8.57029471365067	10.2696572911474	5.3270089745755	8.73954448681378	5.1391578896362	7.67705480463054	8.43689766801512	5.03164652471664	8.48458243410299	6.79448043331079	3.37391873007915	9.43744110665904	10.2863521318063	6.95526019809278	6.21323490770947	6.25989502868554	5.33671197899995	5.8167012410722	5.6245493450868	7.14534695287781	6.435803435075	8.32025719926406	4.65973394166604	6.04379736168107	5.47173070177167	4.00326629025492	5.0728798063389	5.61004674156162	5.46968098375789	17.6329	18.9584
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.58063038116535	11.3829047180234	7.41198912386237	8.15991879376901	8.05018891302828	9.41641236420419	11.0638273438922	4.58011010505988	10.7832998424798	5.56012551628262	3.46398152929044	11.2008578284969	11.0742680859065	6.93528654326431	6.25061956371786	6.219154084806	5.20608730934482	6.05457024613596	5.55966240578711	6.43751301481729	5.631456730285	8.71205565554404	4.64054272869036	6.15225943601459	5.10747981955552	3.90850640211416	4.94783975643433	5.93693929882504	5.78696999373377	17.1919	16.7316
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	9.11560028330075	10.7036157495443	5.61910786010832	7.28972034947421	5.63027372230898	9.22910753912669	7.19153003552565	5.82542322170037	9.16738356203337	7.00746557801911	3.40237206573045	10.781622239392	11.0318302854986	6.07308354184066	5.92375996898935	5.88623192863409	5.85912461314188	6.01996983971967	6.20338048565947	6.36789906521074	5.43459754088178	8.54478351425655	4.72649958652448	6.26069148592173	4.96271866348956	3.81792004927413	4.96008527266308	5.8229535723164	5.54976003970226	14.0183	10.9936
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.90458659045689	9.86303213925464	5.03952494688174	7.61300485219287	5.34006366225057	6.91188448253043	7.80106687604284	5.36877168347177	8.01123503675244	7.04172657965241	3.7339612415776	8.70819948955232	11.1363752948703	6.46217782286289	6.37684132776767	6.15844815121898	5.9648879228963	5.8935290562132	5.69422994749482	6.99794329821786	6.13759043983441	9.12862952215735	4.76276079392407	6.06914032082262	5.43353017587625	3.92984675889031	4.77672227180739	5.47897849782749	5.43311812058364	15.3151	15.8309
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	8.34898160430941	10.1591962201436	6.9476634477144	8.54646281470642	6.77161686856606	8.60506748931101	10.6953842894101	5.80850770393495	10.38917452774	7.89658594902293	5.91767912240872	10.19657556666	9.98270643781276	7.02981546526091	6.42667223064162	6.13743183606701	5.72366033473109	5.96963137451207	5.93290460581012	7.14797700023073	5.98180908507291	7.79046272559041	4.64244825638824	6.31257316331269	4.60418074287159	4.61058171485357	4.72879752166975	5.79179252406643	5.53206925223421	10.1111	10.9936
