ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	SLCO1A2_RNA	ABCC3_RNA	SLC10A2_RNA	ABCC11_RNA	BAAT_RNA	SLC10A1_RNA	ABCB11_RNA	SULT2A1_RNA	meta
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.1040384477029	3.08623348436495	8.3977795912852	2.99051001678383	4.70070894519923	7.53212723498214	4.77272535184203	4.41019367459602	4.34901223781253	12.6202
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	9.80502435675275	2.96987001283098	8.02880137686324	3.21693043225482	4.54967304670751	10.7381756223338	7.26245345442984	4.03663716892672	8.94568457796052	20.8683
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	9.36927003763396	3.84260865502196	8.35328435761667	3.01980993753475	4.90411298696078	10.9855937829632	9.76178736949348	8.71652372690244	9.93688846839149	18.6967
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	6.59623601955705	2.99358649246815	8.94323565799483	3.10552962014697	5.04078974696116	9.55834218491415	10.119137220575	5.88208665427661	7.31303293991063	18.1633
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	4.40876168333356	3.00090127694725	8.47785692067962	3.24308405049871	5.13475955101057	9.89240817096843	10.1137151591949	6.85476703698446	7.47775762398822	18.9723
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.24061143154042	3.07136386713485	8.00105796031388	3.00995116483916	5.05858621751108	10.4404626409806	8.97894884514114	8.81009236337011	8.62363158125837	20.9278
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	9.44484240534879	2.96013594933118	7.73759740040282	3.15727189373251	4.6835246687374	10.1682130977795	7.01154436905942	7.00620870301722	8.59325449847569	17.8668
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	10.1147190999345	3.01841715173231	8.00096202881175	3.09966114412112	4.72969096691908	9.93205192753626	9.6953964488672	8.57696611175754	7.84614401564017	16.7942
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.32260342919218	3.16835531553173	9.30454956469756	7.45836364173709	4.6905286877525	9.36448772314309	4.89306810648591	3.95517428908989	3.85866014953251	12.6202
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	11.0421090335962	3.44555136344767	8.90847774860936	3.01022893838484	5.16625800624477	11.4341177023801	10.6008490034983	10.6018308015897	10.112406640546	21.6655
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	10.9157471724309	3.16776444013751	8.40153304989108	3.05198473084666	4.77477459697491	10.237087212259	5.68414271719608	8.15001883721332	8.18507913935968	18.6659
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	11.3316704384272	3.00533865456519	8.68125185607036	3.02673493574721	4.94074638481149	11.082984594132	9.93517324858777	8.74642120902874	9.97051511464398	17.5301
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	7.08631416325989	2.94755184910007	8.64032113852238	3.01646423573129	5.44263361526925	10.894563351979	10.6653222819031	9.06444338612395	9.62501261866208	19.3322
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	6.54161343971933	3.26303025203158	9.19021605619357	2.938137499182	5.54785075844238	11.3544247187619	10.4831341771931	9.4827251462924	9.37347205851076	16.4031
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	10.8653808609907	3.28455932439239	8.87029475053023	3.03376293767138	4.69418761532143	11.1345734130474	10.8256897521062	9.9667149617637	9.93966065606797	19.0765
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	10.5594655556566	3.23456389835131	8.3450878810457	3.15454272823105	5.40102284969103	10.6466251283248	10.1236562155344	8.77904905722203	9.56736752659642	20.3397
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	8.91595000151014	3.71027595911667	8.48421187864381	2.98688411133449	4.98087281778566	10.5585876840501	9.97853723343717	8.43844674986057	9.48784201108841	20.5257
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	9.25896811934203	3.01496843851366	8.80451370168596	3.93190039287154	4.87019425093547	8.91405782238286	8.29230346785483	6.84019191090537	7.17581546431848	12.6202
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	9.2007381180219	2.90327984168981	9.49806093159449	3.04794919301442	4.63460359650021	10.1552900608382	5.23879785543702	3.62451388241672	8.19166415400814	12.6202
