ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	NMRK2_RNA	NUDT12_RNA	NMRK1_RNA	NAMPT_RNA	NT5C1A_RNA	ACP3_RNA	NT5C1B_RNA	NT5C2_RNA	NT5E_RNA	NMNAT1_RNA	NT5M_RNA	NT5C_RNA	NT5C3A_RNA	NT5C3B_RNA	NMNAT2_RNA	NMNAT3_RNA	meta
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	5.21496583229578	5.88280845539303	6.36221816222398	8.06949163686183	5.07026111281072	3.16776297394144	3.38917656560334	7.95056219527176	8.66208340452937	5.78507744197603	5.54876057201898	5.94835392631401	5.31126119946219	7.93954809633279	4.8298964690321	5.01004674961148	22.5255
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.20197074504236	5.26399100120456	5.14017321145495	6.88077639782387	5.24759155720058	3.16555176782591	3.43916126203438	7.31312589529511	6.23559963034014	5.73328351543757	5.55791264276271	5.89766737654888	5.07377498854821	7.89605191151928	5.07209583310465	5.29036242440325	20.2569
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.1180407318799	3.6794415192515	6.44234107845308	6.7289023545045	5.13511152009049	3.09255941268343	3.38773691993546	8.01791107267336	8.18506674427093	5.64779326265713	5.7396957332565	6.12803439150394	5.45627062829199	7.59126917358143	4.88568341659511	4.52094022212606	20.4358
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	5.3135388672946	5.40552163433875	5.77645217381963	8.75842784338593	5.29597708723635	3.10680225697849	3.40073653596398	7.47489106378022	7.10261835619383	5.94378601284781	5.7715292626434	5.75965030650481	4.97227506717491	7.40872490267919	4.94270847816051	4.92371084504014	20.5061
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.48664385845793	5.47323477030601	5.92987658873072	6.70956566519998	5.35350410211757	3.00505630823954	3.4679397271764	7.4526320820475	8.06544169650838	5.94217177940876	5.75370534318215	5.99729139204638	5.36570064435668	6.90209501089506	5.08871760677375	4.85731298897026	20.6919
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	5.12211609582396	6.71120200831803	5.84607076091868	7.73617012334953	5.00835294175803	3.24180824184513	3.42248448468633	7.84556954448484	7.96247516149958	6.09678855035028	5.53423009489451	5.50286265340679	5.51389036653095	7.17674247743126	4.9581459485846	5.0411464579029	21.4022
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	4.9551104958403	6.33548510272052	6.11072177931328	7.76293396395858	4.97197358266497	3.15981615384867	3.24010925458522	7.80748216203074	9.18880389864974	5.45179313524864	5.29594170999838	5.74912414469978	6.35622245358405	7.07658366389404	4.76908356519551	4.91626992868223	19.2059
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	5.13541041431443	5.47424306300054	6.04991655858346	7.41839488793048	5.07718330652791	3.11863675438268	3.33339676540787	8.001470946137	8.28555830155794	5.5119114983382	5.65776084926242	6.26683208146272	5.22338230650406	7.60663244417539	5.02728711581485	4.61400087688686	18.6339
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.08117796000024	5.51175577091202	6.28796620404546	7.27220399561586	5.02933842917172	3.10236891396143	3.37385264719707	8.01564514281077	7.99860701724681	5.66828362917204	5.51603077620641	6.20362620570524	5.29872419590204	8.76795923003833	4.81105093156436	5.20446937560141	20.2001
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	5.11202210625759	5.79927784362962	4.52184239669732	7.02747910767906	4.98685904881454	3.31828332242491	3.44598142858339	8.4915854904977	6.23534607021924	5.86913964160006	5.4561921613812	6.74162874535028	6.2400950439798	7.58101221217334	4.91490993187426	4.91567742013179	18.7528
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	5.07512742375597	5.30992832661384	5.63743999406449	7.22224158039676	5.04497257350498	2.95326839436494	3.43610647647305	7.54922726141048	7.4018088808557	5.58212931671596	5.47841136021625	6.14138868505142	5.04320951636557	7.19637624387904	4.9149296066788	4.80816333510897	19.8538
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	5.10768237705813	5.52699832090196	5.97934976787682	7.8833179507925	5.02042238940546	3.06162146157404	3.31804928198336	8.04792799211873	8.59556204893006	5.71815498066325	5.55234820344532	6.14419539384576	5.20417213261645	7.5639178921589	4.80194675119879	4.91939873039436	19.6518
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	5.16864377534689	5.97831571262886	6.66714592905	7.61468999233748	5.30998253194828	3.25282153783133	3.42879470680572	7.47202684294659	7.80429334020787	5.94724368559133	5.63142841189038	6.00774619154914	4.97318579742149	7.18082587596919	4.84818078578321	4.7151016845433	19.8172
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	5.14084580501159	6.2546224382758	6.3813803798827	8.83866846566129	5.04807543073276	3.13289879564141	3.37072315068362	7.49502474209974	7.44558016389796	5.81677351128479	5.63793622655466	5.68554972994091	4.92274025009019	7.35775429557161	4.87490144557037	4.92863043848037	22.7832
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	5.05963171229098	6.06747343151983	5.76753506245153	8.35067423166242	4.97870478619301	2.96932936468123	3.34338537279352	7.75405997176354	9.7742531358323	5.81209898485473	5.57974871695384	6.48430274620666	5.10598983293745	7.88918387691196	4.67773661295846	5.07891986576604	20.7663
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	5.14917866170958	6.03151047156356	6.40140565950711	7.61298756338847	4.95823974804794	3.03148525713897	3.43804004843423	7.00900334813906	8.75832060343615	6.14323556404694	5.55183408133772	5.81804578826202	5.25475853238354	7.7704057513329	4.88508417378166	5.49602264946646	20.99
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	5.52483615985247	5.63866675519812	6.88071906606261	8.54322183020194	5.24109572505033	3.41700915093869	3.55389497981001	7.56693458327773	8.19293870750277	6.0124847103804	5.86225962395865	6.27566837509964	4.78529045788332	7.41092705873435	5.06099637194229	4.99397722681162	19.2374
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	5.36628111038269	5.72311991247807	5.80759945529481	7.18315787358808	5.12363623718826	3.14443098097662	3.48188892062833	7.57042182002666	8.00985533500033	5.67626683306608	5.82741756097372	5.85657977573482	4.87978561994989	7.26887755285654	4.99347156595527	5.02409549852323	18.8419
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	5.40055889329409	5.21168462187675	5.29940141955539	8.31267146095518	5.11142110017042	3.70807879346632	3.48944251273661	7.79275562317088	8.08418382320825	5.82395561114831	5.64951777477915	6.60304289422356	5.53837946971677	7.47779950643863	6.15879601994996	4.85734399808158	19.6552
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	5.09061787813291	6.38756800484091	5.33150110562667	7.42472869099916	4.85798972011787	3.03396921484661	3.34760076228746	7.14602691415262	8.05378274004549	5.71564041755624	5.63523638572504	6.76585879745717	6.92998651888671	7.19332741493459	4.71675474987056	4.91114145175693	19.1956
