ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GAA_RNA	GANC_RNA	AMY1B_RNA	LYZL1_RNA	SLC2A3_RNA	MGAM_RNA	AMY2A_RNA	SI_RNA	CAPN3_RNA	Maltotriose_upmeta	meta
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.0694558982769	6.48372729252409	6.68596702630813	3.74538747654227	7.39501459983007	3.75837276970656	7.12392490486435	2.58812183067856	6.05355943422153	18.8642	18.4604
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	7.40069644799879	6.67358130217095	7.04666180171124	4.0468911767676	7.59219971888441	3.85610108459147	7.58465316862364	2.83830928391346	5.52381604539572	13.6609	13.1864
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	7.47318414148806	8.11186875617776	5.54339955882093	3.77180635170845	8.03380616110732	3.71742683077428	5.69435296336413	2.51110283058614	7.31985741581331	19.156	19.0895
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	7.47467710908521	7.08623307382024	5.24622825708218	3.67112356647611	7.70175032443504	4.31267780469579	4.93060629010595	2.46415086310837	6.57229281267903	19.7862	19.9727
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	7.64634458611619	7.33276729089627	5.90896055738306	3.77535885717521	7.66741229786922	4.26101930383051	6.07398130797623	2.5583494541033	7.18199310549109	22.0629	22.2228
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	7.46967657022432	7.98956571974551	5.95951691901865	3.79544824880751	7.13783699090735	4.06804168157587	6.29691064077041	2.42631732724963	7.44761645871898	22.9996	22.755
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	8.04960530109717	7.71802008980606	6.0142891717758	3.660162055047	8.03003349929944	3.7934987170857	6.21512304386395	2.51491314830596	6.97463659413005	17.6188	17.7376
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	7.32266598148664	7.02504039213787	7.58924964502997	3.81509473127286	6.5453291588533	4.11194476004329	7.8267332967473	2.46186387054542	6.4470056830971	20.1808	18.9846
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.55727532417402	7.52630228769866	6.27347698381656	4.10836353288962	7.41530914662992	4.07181722596843	6.63978873356959	2.80090496871867	7.26360000334446	17.0173	17.8198
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	7.53168088503035	7.25082045859718	5.38311610777309	3.87529394278708	7.42006725384923	3.80587625012885	5.386312245896	2.54015837656886	6.64639539910361	20.348	20.6195
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.40893015293339	6.69099305994195	5.43231784125763	3.88749453176004	8.77647443850559	4.17018024677776	5.36752653046861	2.70270324324691	6.13324565968209	19.4026	20.0528
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	7.28525949135188	6.44840877755606	4.85274778913797	3.55171861969836	8.40033329407056	3.82591660025369	3.71890441765354	4.37367337553277	5.23863268876845	13.6609	13.1864
