ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	PNP_RNA	SLC28A2_RNA	SLC29A2_RNA	SLC28A3_RNA	ADA_RNA	NT5C_RNA	SLC29A1_RNA	ADA2_RNA	meta
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.49295439117437	4.5345485907396	6.40682632037978	4.92561725546317	5.07220044351319	5.50286265340679	7.49296012880798	5.75365707324064	17.6164
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.52169582736493	4.06667543171157	5.6672534472869	3.36266511258227	5.69129318650051	5.74912414469978	7.88615094597659	7.15210693167061	16.3987
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.84699172040591	4.18748776792675	5.79195548844926	4.30757584967119	5.17742928533743	6.26683208146272	7.56275075433322	6.77657603617176	19.3687
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.48071939906859	4.25336766351703	5.81486991125588	3.63195848976728	5.34003157059798	6.20362620570524	8.10979143817959	6.18744517720996	12.0151
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	7.01401418316961	4.25143879263391	6.04583257376011	3.8162626884811	5.06989266811676	6.74162874535028	7.25578470052034	6.24834630051096	15.6803
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	6.5359438789275	4.36055152915385	5.76663608267279	3.613331705726	5.37444915642041	6.14138868505142	7.38112246119895	6.40572428718941	15.6844
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	7.13924506658502	4.119991888228	6.31435816744282	3.53351476797861	5.36125366502189	6.14419539384576	7.52476026228704	6.44479299742817	18.5232
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	6.98949080703645	4.28761251952038	5.71660025748739	3.76124900440988	5.21507424855071	6.00774619154914	7.13557657677507	6.31213862711514	18.011
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	6.15888385945934	4.12901178094432	6.03304324867275	3.5514582720884	5.30992109833766	5.68554972994091	7.67580808572178	6.30432846617391	15.5372
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	6.4649053779334	4.21262644995495	5.95957510300614	3.33260692876528	5.3728175611266	6.48430274620666	6.72761290942215	6.49741891584259	12.0151
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	6.04995616918246	4.18451324507055	5.68831793604194	3.4478090773968	5.22263459120948	5.81804578826202	7.90005715295812	5.90702500222013	13.4736
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.57040652315551	4.71837656896035	6.04401534860406	4.01568513113883	5.34125724761801	6.27566837509964	7.17544931744135	5.9698947621593	16.4492
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.97495790419741	4.54958351950237	5.97647334315442	3.93914712716194	5.66355844756903	5.85657977573482	7.33189434100913	7.04569531624453	13.5922
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.09645119641698	4.4666752872079	6.57311338086946	5.14629666111884	5.49374745976814	6.60304289422356	7.44767300515709	6.02073400020169	17.207
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	7.26607647512243	9.63714257093256	5.55899276020824	3.51022385977986	5.64569005411749	6.76585879745717	7.09369804965315	5.50525414423063	19.2114
