ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	ACOT7_RNA	SLCO1A2_RNA	SLC7A9_RNA	ABCC2_RNA	SLC10A2_RNA	ABCC1_RNA	BAAT_RNA	ACOT4_RNA	ACOT6_RNA	SLC10A1_RNA	ACOT1_RNA	STS_RNA	CYP3A4_RNA	SLC27A2_RNA	UGT2B7_RNA	UGT2A3_RNA	SULT2A1_RNA	SLC27A5_RNA	meta
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.96686254622286	6.45591271843722	3.26813299782395	7.20964667086057	8.62026383196128	3.02311573890338	6.89056405088611	9.30219020390413	5.52323282946117	3.38507184896427	9.33782536266979	8.41533907835519	6.9526511654011	6.67042748448323	9.27159785247068	8.252859526106	6.03855425393153	8.37991827466955	6.97042414706363	17.9897
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	9.51867872331892	6.38335354686889	2.85436947191863	5.3970983248972	8.87259208399761	3.00679569522934	6.76513103321339	10.6420885657195	4.2371753455756	3.05482347645767	4.5761995189102	7.15914366022973	8.47135669777118	4.81425010390723	8.36790968790577	8.56426860358112	7.80694939997564	6.77958001232024	6.28019049385435	10.6935
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	4.33871603634212	6.08070454623569	2.99111062222455	7.05198536703427	9.26076554565119	3.1064448923012	6.38039894261001	11.3311578479209	4.40381314350874	2.89456009243663	9.40853160756176	7.72851372635503	7.26718056016777	5.37430771508842	9.33779398912012	8.48458243410299	6.79448043331079	8.90356115131628	7.68986531275429	10.6935
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	10.0984087494383	6.40318421031185	3.05524954372549	7.39031138145618	9.89731947671512	3.10857297610176	5.54646808087246	10.5185284548021	4.632475628083	3.77238875334082	10.0474739066271	7.50744350325213	6.03551661595451	9.51315029735617	9.87759288808674	10.7832998424798	5.56012551628262	8.32549563250935	8.46467198076149	16.9369
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	3.89718500312746	6.32007573302328	3.28508277742388	6.35077631832415	9.91818685243015	3.11740452565225	5.69534853348971	10.3228930975467	4.4510950187324	3.14687430423651	8.73928578016055	8.44088131645538	5.59853277459939	5.44609124979389	9.07586094406293	9.16738356203337	7.00746557801911	7.98853110574515	7.29589613226005	15.6556
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	9.39382194757796	6.45224209297076	4.72051467988921	7.53901972786085	10.1302900308046	3.06180836877748	5.94150064068861	8.8540341918325	4.22565351853824	2.96640617349458	5.64370756959056	7.78843120739688	5.70499797235941	8.24429736789148	8.4722757923128	8.01123503675244	7.04172657965241	7.70378934512011	7.31517637328908	10.6935
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.55333711148641	6.33636165250423	3.43607417406944	8.4417594017114	9.90098501361128	2.93666502481406	5.44449166004593	11.1548001333436	4.52454144549817	2.77079030605838	10.8613702129259	7.53090445790653	6.00274651619072	5.93328211784546	8.60975349722971	10.38917452774	7.89658594902293	8.53597533979016	8.57422244897562	19.5423
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	10.4843302836042	6.34668468577994	3.62200476542796	6.76627273369677	10.1584500111577	3.16784535810604	6.06743961737831	11.1372498713781	4.68580819473823	3.48063929461168	10.6454754330494	8.16447190619914	6.48348596076178	11.1414636075703	9.7242104513009	10.4386447899701	6.33866199905636	10.0747200175554	9.50740016543912	10.6935
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	10.1075242040216	6.33533170970537	3.24831687456879	7.35225969243162	10.8201841164639	3.14686725070044	5.99705981595183	11.4805434862587	4.17472786919711	3.25441263424906	9.73967210550957	7.18664950724809	6.66923310357426	8.25475047429472	7.99178807950051	8.87249775684465	6.95204319896803	9.7989685054011	8.74942687951061	17.1627
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	10.2569118867677	6.03921101462149	3.03310218906553	6.76853175836421	9.58952984397282	3.12806137899273	5.79759013838952	10.7217862087597	4.32254979153755	2.96041462206753	7.26909113066837	7.76357196293072	5.57245159528114	9.38632434078451	10.0795348032366	8.5782487359238	6.59713897034332	9.45157710611334	8.43999420389693	11.8222
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.1040384477029	6.21773278910656	3.08623348436495	5.99740739013686	5.80062402038416	2.99051001678383	6.24715671728304	7.53212723498214	4.01225835489913	3.15356452347706	4.77272535184203	6.81744413097428	5.95293587700974	5.5462770542223	6.26713273046151	6.28779527033243	5.8799536588155	4.34901223781253	6.0512266728288	15.7206
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	9.80502435675275	6.15835652335055	2.96987001283098	7.12957159294289	9.58300202624054	3.21693043225482	5.85642220157835	10.7381756223338	3.97060053944798	3.00672397765165	7.26245345442984	7.56003776595732	5.85408700432063	6.76686863393661	8.45750418672071	7.24580530923712	6.66940754545928	8.94568457796052	6.78386077620511	16.705
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	9.36927003763396	6.65271674702617	3.84260865502196	6.84415412783676	9.32774213831507	3.01980993753475	6.15056146308782	10.9855937829632	4.04813812094564	2.76487558088848	9.76178736949348	7.54452729424484	6.06993253850944	9.98796239702992	9.97695802098296	10.0649324123313	6.55870898663542	9.93688846839149	8.34825206384793	14.8207
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	6.59623601955705	6.32895742275903	2.99358649246815	7.3094553511735	10.3970695923605	3.10552962014697	5.83627283251321	9.55834218491415	4.55605060130841	2.920308520889	10.119137220575	7.9573566980533	6.10756145070062	7.56911605372651	10.1725203220223	9.76976688522389	7.39885298742716	7.31303293991063	7.11171752333066	19.4847
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	4.40876168333356	6.05915683856701	3.00090127694725	6.65658791057362	8.57358406826283	3.24308405049871	6.06521700141646	9.89240817096843	4.40577758173821	3.49497075721235	10.1137151591949	7.61133403568375	6.66578454751967	8.47306047090708	9.85919505207603	9.26192062419562	7.53234609994574	7.47775762398822	7.40206323536055	17.1929
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.24061143154042	6.29954285080127	3.07136386713485	6.5244198865256	9.50081193797967	3.00995116483916	6.53381838059493	10.4404626409806	4.04379614976345	3.2780035295645	8.97894884514114	6.85059244095173	7.37286954501873	7.71798886877625	8.90171352135581	8.61139813325457	6.66599561212466	8.62363158125837	6.78394443906862	10.6935
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	9.44484240534879	6.23087563830495	2.96013594933118	6.60223298905072	9.74647456596035	3.15727189373251	6.03331431399892	10.1682130977795	4.35398889703281	3.08606400849498	7.01154436905942	8.00470687301876	6.14751854685979	8.18965146904308	9.12306225401476	7.43806906457698	5.82614641867568	8.59325449847569	8.06490416724182	17.3414
